run_id,dataset,method,noise,seed,found_eq,r2,time_s,status
bacon7_S-2_N0.0_S45,S-2,bacon7,0.0,45,y/(x1*x2) = 1,1.0000,0.00,Success
bacon7_S-2_N0.0_S46,S-2,bacon7,0.0,46,y/(x1*x2) = 1,1.0000,0.00,Success
bacon7_S-2_N0.0_S47,S-2,bacon7,0.0,47,y/(x1*x2) = 1,1.0000,0.00,Success
bacon7_S-2_N0.0_S48,S-2,bacon7,0.0,48,y/(x1*x2) = 1,1.0000,0.00,Success
bacon7_S-2_N0.0_S49,S-2,bacon7,0.0,49,y/(x1*x2) = 1,1.0000,0.00,Success
bacon7_S-2_N0.0_S50,S-2,bacon7,0.0,50,y/(x1*x2) = 1,1.0000,0.00,Success
bacon7_S-2_N0.0_S51,S-2,bacon7,0.0,51,y/(x1*x2) = 1,1.0000,0.00,Success
bacon3_S-2_N0.01_S42,S-2,bacon3,0.01,42,y = 0.9964 * (x1*x2) + 0.03639,0.9982,0.03,Success
bacon3_S-2_N0.01_S43,S-2,bacon3,0.01,43,y = 0.9949 * (x1*x2) + 0.02124,0.9980,0.04,Success
bacon3_S-2_N0.01_S44,S-2,bacon3,0.01,44,y = 0.9953 * (y**2/(x1*x2)) + 0.05573,0.9985,0.04,Success
bacon3_S-2_N0.01_S45,S-2,bacon3,0.01,45,y = 1.001 * (x1*x2) - 0.0149,0.9982,0.03,Success
bacon3_S-2_N0.01_S46,S-2,bacon3,0.01,46,y = 0.9935 * (y**2/(x1*x2)) + 0.02979,0.9982,0.03,Success
bacon3_S-2_N0.01_S47,S-2,bacon3,0.01,47,y = 0.9972 * (x1*x2) + 0.02319,0.9980,0.03,Success
bacon3_S-2_N0.01_S48,S-2,bacon3,0.01,48,y = 0.9964 * (x1*x2) + 0.04487,0.9978,0.03,Success
bacon3_S-2_N0.01_S49,S-2,bacon3,0.01,49,y = 0.9987 * (x1*x2) + 0.008075,0.9982,0.04,Success
bacon3_S-2_N0.01_S50,S-2,bacon3,0.01,50,y = 0.9944 * (x1*x2) + 0.02562,0.9980,0.03,Success
bacon3_S-2_N0.01_S51,S-2,bacon3,0.01,51,y = 0.998 * (x1*x2) + 0.008501,0.9980,0.03,Success
bacon7_S-2_N0.01_S42,S-2,bacon7,0.01,42,y/(x1*x2) = 1.001,0.9981,0.01,Success
bacon7_S-2_N0.01_S43,S-2,bacon7,0.01,43,y/(x1*x2) = 0.9994,0.9980,0.01,Success
bacon7_S-2_N0.01_S44,S-2,bacon7,0.01,44,y/(x1*x2) = 0.9949,0.9984,0.01,Success
bacon7_S-2_N0.01_S45,S-2,bacon7,0.01,45,y/(x1*x2) = 0.9991,0.9982,0.01,Success
bacon7_S-2_N0.01_S46,S-2,bacon7,0.01,46,y/(x1*x2) = 1.002,0.9982,0.01,Success
bacon7_S-2_N0.01_S47,S-2,bacon7,0.01,47,y/(x1*x2) = 1.001,0.9980,0.01,Success
bacon7_S-2_N0.01_S48,S-2,bacon7,0.01,48,y/(x1*x2) = 1.004,0.9977,0.01,Success
bacon7_S-2_N0.01_S49,S-2,bacon7,0.01,49,y/(x1*x2) = 1,0.9982,0.01,Success
bacon7_S-2_N0.01_S50,S-2,bacon7,0.01,50,y/(x1*x2) = 0.9984,0.9980,0.01,Success
bacon7_S-2_N0.01_S51,S-2,bacon7,0.01,51,y/(x1*x2) = 0.9989,0.9980,0.01,Success
bacon3_S-2_N0.02_S42,S-2,bacon3,0.02,42,y = 0.9928 * (x1*x2) + 0.07278,0.9927,0.03,Success
bacon3_S-2_N0.02_S43,S-2,bacon3,0.02,43,y = 0.9897 * (x1*x2) + 0.04248,0.9921,0.03,Success
bacon3_S-2_N0.02_S44,S-2,bacon3,0.02,44,y = 0.9857 * (y**2/(x1*x2)) + 0.1387,0.9940,0.03,Success
bacon3_S-2_N0.02_S45,S-2,bacon3,0.02,45,y = 1.002 * (x1*x2) - 0.0298,0.9930,0.03,Success
bacon3_S-2_N0.02_S46,S-2,bacon3,0.02,46,y = 0.9818 * (y**2/(x1*x2)) + 0.0918,0.9932,0.03,Success
bacon3_S-2_N0.02_S47,S-2,bacon3,0.02,47,y = 0.9945 * (x1*x2) + 0.04637,0.9922,0.03,Success
bacon3_S-2_N0.02_S48,S-2,bacon3,0.02,48,y = 0.9927 * (x1*x2) + 0.08973,0.9912,0.03,Success
bacon3_S-2_N0.02_S49,S-2,bacon3,0.02,49,y = 0.9974 * (x1*x2) + 0.01615,0.9930,0.06,Success
bacon3_S-2_N0.02_S50,S-2,bacon3,0.02,50,y = 0.9887 * (x1*x2) + 0.05123,0.9919,0.03,Success
